Sample_no,Date,Week,GrowthLength,StemSize,FloweringScore
0,2022-03-30,30,208.0,6.9,16.67
1,2022-03-30,30,172.0,6.8,17.33
2,2022-03-30,30,150.0,9.3,16.0
3,2022-03-30,30,121.0,5.9,16.2
4,2022-04-06,31,175.0,5.8,17.4
5,2022-04-06,31,155.0,5.3,18.17
6,2022-04-06,31,195.0,8.2,17.0
7,2022-04-06,31,165.0,10.5,17.0
8,2022-04-13,32,125.0,4.2,18.25
10,2022-04-13,32,198.0,6.5,17.6
11,2022-04-13,32,141.0,9.2,17.8
13,2017-03-12,30,230.0,8.2,6.1
14,2017-03-12,30,250.0,12.8,7.4
15,2017-03-12,30,200.0,10.5,6.1
16,2017-03-19,31,140.0,10.0,7.0
17,2017-03-19,31,150.0,10.5,7.4
18,2017-03-19,31,160.0,13.3,6.7
20,2017-03-26,32,290.0,7.5,8.4
21,2017-03-26,32,180.0,9.0,6.8
22,2017-03-26,32,210.0,9.8,8.7
24,2017-04-30,37,230.0,8.2,6.0
25,2017-04-30,37,250.0,8.7,6.0
26,2017-04-30,37,300.0,8.0,7.0
32,2017-05-14,39,180.0,8.0,6.0
33,2017-05-14,39,170.0,9.2,6.0
34,2017-05-14,39,220.0,3.8,8.0
35,2017-05-14,39,200.0,4.6,7.0
36,2017-03-12,30,230.0,5.7,9.7
37,2017-03-12,30,210.0,4.5,8.4
38,2017-03-12,30,220.0,7.7,6.7
39,2017-03-12,30,240.0,4.5,8.0
41,2017-03-19,31,190.0,7.0,6.0
43,2017-03-19,31,220.0,7.5,7.4
44,2017-03-26,32,190.0,7.2,9.0
45,2017-03-26,32,200.0,7.7,6.7
46,2017-03-26,32,190.0,5.5,6.0
47,2017-03-26,32,200.0,7.5,8.3
48,2017-03-12,32,6700.0,8.34,9.0
49,2017-03-12,32,5200.0,10.89,7.3
50,2017-03-12,32,7300.0,7.96,7.0
51,2017-03-12,32,6800.0,10.52,5.7
52,2017-03-19,33,257.0,7.12,4.7
53,2017-03-19,33,271.0,9.05,4.0
54,2017-03-19,33,258.0,6.97,3.3
55,2017-03-19,33,237.0,7.16,2.7
58,2017-03-26,34,194.0,7.22,0.0
59,2017-03-26,34,236.0,7.86,0.0
60,2017-04-16,37,170.0,4.58,2.0
61,2017-04-16,37,220.0,2.56,2.0
62,2017-04-16,37,220.0,5.87,2.0
63,2017-04-16,37,230.0,4.53,1.6
64,2017-04-23,38,223.0,3.9,2.0
65,2017-04-23,38,203.0,7.86,1.0
66,2017-04-23,38,220.0,7.61,1.0
67,2017-04-23,38,180.0,7.55,2.0
68,2017-04-30,39,200.0,6.21,1.0
69,2017-04-30,39,170.0,7.74,1.6
70,2017-04-30,39,190.0,7.72,2.0
72,2017-03-19,33,120.0,9.0,6.3
73,2017-03-19,33,160.0,10.0,6.3
74,2017-03-19,33,140.0,8.8,7.0
76,2017-03-26,34,340.0,8.0,6.7
77,2017-03-26,34,220.0,8.1,7.1
78,2017-03-26,34,210.0,7.0,7.3
79,2017-03-26,34,220.0,9.6,7.4
80,2019-10-15,10,0.0,5.0,0.2
81,2019-10-15,10,0.0,4.0,0.2
82,2019-10-15,10,0.0,5.0,0.4
83,2019-10-15,10,0.0,6.0,0.2
84,2019-10-22,11,315.0,5.6,1.1
86,2019-10-22,11,280.0,6.1,1.3
87,2019-10-22,11,295.0,9.7,1.3
88,2019-10-29,12,305.0,9.3,3.9
89,2019-10-29,12,352.0,12.0,4.2
90,2019-10-29,12,268.0,8.0,4.4
91,2019-10-29,12,285.0,10.9,4.6
92,2019-11-05,13,272.0,4.8,5.4
93,2019-11-05,13,242.0,4.9,6.5
94,2019-11-05,13,203.0,7.9,6.9
95,2019-11-05,13,250.0,6.2,7.1
98,2019-11-12,14,235.0,5.8,5.1
99,2019-11-12,14,232.0,10.9,5.7
100,2019-11-19,15,151.0,7.4,6.9
102,2019-11-19,15,49.0,10.8,7.2
104,2019-11-26,16,29.0,12.0,6.9
105,2019-11-26,16,31.0,6.8,3.7
106,2019-11-26,16,34.0,8.8,7.2
108,2019-12-03,17,41.0,12.2,0.0
109,2019-12-03,17,35.0,11.3,0.0
112,2019-12-10,18,168.0,10.1,0.0
113,2019-12-10,18,105.0,7.3,0.0
114,2019-12-10,18,143.0,11.0,0.0
115,2019-12-10,18,85.0,7.8,0.0
117,2019-12-17,19,130.0,7.0,0.0
119,2019-12-17,19,73.0,6.7,0.0
120,2019-12-24,20,187.0,10.3,15.5
121,2019-12-24,20,125.0,8.2,12.2
122,2019-12-24,20,153.0,14.2,12.4
123,2019-12-24,20,76.0,8.6,11.3
125,2019-12-31,21,152.0,11.4,13.3
126,2019-12-31,21,253.0,10.4,13.4
127,2019-12-31,21,90.0,7.9,12.5
128,2017-02-12,20,0.0,10.6,5.4
129,2017-02-12,20,0.0,10.9,6.4
130,2017-02-12,20,0.0,8.4,8.8
131,2017-02-12,20,0.0,10.6,7.5
132,2017-02-19,21,180.0,9.5,6.4
133,2017-02-19,21,0.0,11.2,5.7
135,2017-02-19,21,230.0,10.2,7.2
136,2017-02-26,22,80.0,11.4,6.4
138,2017-02-26,22,70.0,10.0,7.7
140,2017-03-05,23,200.0,9.15,7.1
141,2017-03-05,23,160.0,13.8,7.1
142,2017-03-05,23,180.0,10.7,7.4
144,2017-03-12,24,180.0,8.0,8.1
145,2017-03-12,24,160.0,11.6,7.3
146,2017-03-12,24,220.0,8.5,8.0
147,2017-03-12,24,210.0,9.8,7.4
148,2017-03-19,25,190.0,10.8,7.7
150,2017-03-19,25,90.0,9.5,8.6
151,2017-03-19,25,120.0,14.0,7.3
155,2017-04-09,28,250.0,8.2,6.0
156,2017-05-07,32,320.0,6.8,7.0
157,2017-05-07,32,330.0,3.4,8.0
158,2017-05-07,32,330.0,5.2,6.0
160,2017-05-14,33,230.0,5.1,8.0
161,2017-05-14,33,170.0,6.3,7.0
